"General ""game""",category,character 1,character 2,character 3,character 4
Amphibian Orders Phylogeny,Taxonomic names,Amphibia,Gymnophiona,Anura,Caudata
Amphibian Orders Phylogeny,Amphibia synapomorphies,mucous glands,two occipital condyles,ribs do not encircle body,poison glands
Amphibian Orders Phylogeny,Gynophiona synaps,phallodeum,reduced eyes,annuli,sensory tentacles
Amphibian Orders Phylogeny,Caudata synaps,prominent tails,costal grooves,external gills in larvae,"four, similar sized limbs"
Reptile Orders Phylogeny,Crocodylia,webbed feet,osteoderms,thecodont,"large, elongate, flat head"
Reptile Orders Phylogeny,Testudines,carapace,keratinous beak,anapsid,girdles inside rib cage
Reptile Orders Phylogeny,Rhynchocephalia,gastralia,parietal eye,"extended premaillary ""tooth""",cloacal apposition
Reptile Orders Phylogeny,Serpentes,spectacle,lack external ear opening,> 130 trunk vertebrae,left lung reduced
Reptile Anatomy,plastron scutes,gular,humeral,femoral,pectoral
Reptile Anatomy,carapace scutes,vertebrals,costals,supramarginals,cervical
Reptile Anatomy,lizard scale types,granular,cycloid,keeled,rectangular
Reptile Anatomy,squamate head scales,rostral,prefrontals,supraocular,infralabial
